model_name,class_type,model_id,window_id,split,actual_label,pred_0,pred_1
nn,binary,nn_binary,win_20,val,actual_1,4,24
nn,binary,nn_binary,win_20,test,actual_0,21,16
nn,binary,nn_binary,win_20,test,actual_1,16,10
nn,binary,nn_binary,win_21,train,actual_0,566,42
nn,binary,nn_binary,win_21,train,actual_1,61,590
nn,binary,nn_binary,win_21,val,actual_0,37,0
nn,binary,nn_binary,win_21,val,actual_1,2,24
nn,binary,nn_binary,win_21,test,actual_0,23,7
nn,binary,nn_binary,win_21,test,actual_1,24,8
nn,binary,nn_binary,win_22,train,actual_0,347,271
nn,binary,nn_binary,win_22,train,actual_1,228,413
nn,binary,nn_binary,win_22,val,actual_0,19,11
nn,binary,nn_binary,win_22,val,actual_1,11,21
nn,binary,nn_binary,win_22,test,actual_0,5,23
nn,binary,nn_binary,win_22,test,actual_1,14,21
nn,binary,nn_binary,win_23,train,actual_0,459,159
nn,binary,nn_binary,win_23,train,actual_1,149,493
nn,binary,nn_binary,win_23,val,actual_0,17,11
nn,binary,nn_binary,win_23,val,actual_1,3,32
nn,binary,nn_binary,win_23,test,actual_0,11,17
nn,binary,nn_binary,win_23,test,actual_1,13,23
nn,binary,nn_binary,win_24,train,actual_0,486,130
nn,binary,nn_binary,win_24,train,actual_1,52,590
nn,binary,nn_binary,win_24,val,actual_0,22,6
nn,binary,nn_binary,win_24,val,actual_1,4,32
nn,binary,nn_binary,win_24,test,actual_0,21,10
nn,binary,nn_binary,win_24,test,actual_1,13,19
nn,binary,nn_binary,win_25,train,actual_0,457,158
nn,binary,nn_binary,win_25,train,actual_1,150,493
nn,binary,nn_binary,win_25,val,actual_0,26,5
nn,binary,nn_binary,win_25,val,actual_1,4,28
nn,binary,nn_binary,win_25,test,actual_0,19,12
nn,binary,nn_binary,win_25,test,actual_1,19,12
nn,binary,nn_binary,win_26,train,actual_0,516,102
nn,binary,nn_binary,win_26,train,actual_1,120,520
nn,binary,nn_binary,win_26,val,actual_0,27,4
nn,binary,nn_binary,win_26,val,actual_1,4,27
nn,binary,nn_binary,win_26,test,actual_0,21,17
nn,binary,nn_binary,win_26,test,actual_1,13,12
nn,binary,nn_binary,win_27,train,actual_0,516,100
nn,binary,nn_binary,win_27,train,actual_1,78,565
nn,binary,nn_binary,win_27,val,actual_0,31,7
nn,binary,nn_binary,win_27,val,actual_1,4,21
nn,binary,nn_binary,win_27,test,actual_0,22,15
nn,binary,nn_binary,win_27,test,actual_1,17,10
nn,binary,nn_binary,win_28,train,actual_0,384,237
nn,binary,nn_binary,win_28,train,actual_1,212,425
nn,binary,nn_binary,win_28,val,actual_0,35,2
nn,binary,nn_binary,win_28,val,actual_1,21,6
nn,binary,nn_binary,win_28,test,actual_0,21,0
nn,binary,nn_binary,win_28,test,actual_1,42,0
nn,binary,nn_binary,win_29,train,actual_0,436,194
nn,binary,nn_binary,win_29,train,actual_1,200,428
nn,binary,nn_binary,win_29,val,actual_0,8,13
nn,binary,nn_binary,win_29,val,actual_1,8,34
nn,binary,nn_binary,win_29,test,actual_0,9,24
nn,binary,nn_binary,win_29,test,actual_1,10,18
nn,binary,nn_binary,win_30,train,actual_0,498,123
nn,binary,nn_binary,win_30,train,actual_1,144,493
nn,binary,nn_binary,win_30,val,actual_0,29,4
nn,binary,nn_binary,win_30,val,actual_1,7,21
nn,binary,nn_binary,win_30,test,actual_0,25,10
nn,binary,nn_binary,win_30,test,actual_1,21,7
nn,binary,nn_binary,win_31,train,actual_0,410,218
nn,binary,nn_binary,win_31,train,actual_1,225,405
nn,binary,nn_binary,win_31,val,actual_0,26,9
nn,binary,nn_binary,win_31,val,actual_1,9,19
nn,binary,nn_binary,win_31,test,actual_0,9,24
nn,binary,nn_binary,win_31,test,actual_1,9,22
nn,binary,nn_binary,win_32,train,actual_0,507,123
nn,binary,nn_binary,win_32,train,actual_1,157,470
nn,binary,nn_binary,win_32,val,actual_0,25,8
nn,binary,nn_binary,win_32,val,actual_1,5,26
nn,binary,nn_binary,win_32,test,actual_0,30,1
nn,binary,nn_binary,win_32,test,actual_1,31,1
nn,binary,nn_binary,win_33,train,actual_0,411,230
nn,binary,nn_binary,win_33,train,actual_1,280,336
nn,binary,nn_binary,win_33,val,actual_0,24,7
nn,binary,nn_binary,win_33,val,actual_1,17,15
nn,binary,nn_binary,win_33,test,actual_0,21,0
nn,binary,nn_binary,win_33,test,actual_1,42,0
nn,binary,nn_binary,win_34,train,actual_0,526,114
nn,binary,nn_binary,win_34,train,actual_1,137,481
nn,binary,nn_binary,win_34,val,actual_0,19,2
nn,binary,nn_binary,win_34,val,actual_1,8,34
nn,binary,nn_binary,win_34,test,actual_0,21,8
nn,binary,nn_binary,win_34,test,actual_1,22,12
nn,binary,nn_binary,win_35,train,actual_0,565,68
nn,binary,nn_binary,win_35,train,actual_1,89,538
nn,binary,nn_binary,win_35,val,actual_0,27,2
nn,binary,nn_binary,win_35,val,actual_1,3,31
nn,binary,nn_binary,win_35,test,actual_0,22,13
nn,binary,nn_binary,win_35,test,actual_1,14,15
nn,binary,nn_binary,win_36,train,actual_0,445,185
nn,binary,nn_binary,win_36,train,actual_1,187,442
nn,binary,nn_binary,win_36,val,actual_0,24,11
nn,binary,nn_binary,win_36,val,actual_1,6,23
nn,binary,nn_binary,win_36,test,actual_0,9,20
nn,binary,nn_binary,win_36,test,actual_1,17,17
nn,binary,nn_binary,win_37,train,actual_0,540,91
nn,binary,nn_binary,win_37,train,actual_1,91,537
nn,binary,nn_binary,win_37,val,actual_0,26,3
nn,binary,nn_binary,win_37,val,actual_1,2,32
nn,binary,nn_binary,win_37,test,actual_0,20,8
nn,binary,nn_binary,win_37,test,actual_1,19,13
nn,binary,nn_binary,win_38,train,actual_0,499,126
nn,binary,nn_binary,win_38,train,actual_1,129,505
nn,binary,nn_binary,win_38,val,actual_0,22,6
nn,binary,nn_binary,win_38,val,actual_1,5,27
nn,binary,nn_binary,win_38,test,actual_0,8,20
nn,binary,nn_binary,win_38,test,actual_1,3,32
nn,binary,nn_binary,win_39,train,actual_0,379,244
nn,binary,nn_binary,win_39,train,actual_1,207,427
nn,binary,nn_binary,win_39,val,actual_0,13,15
nn,binary,nn_binary,win_39,val,actual_1,4,31
nn,binary,nn_binary,win_39,test,actual_0,7,28
nn,binary,nn_binary,win_39,test,actual_1,1,27
nn,binary,nn_binary,win_40,train,actual_0,417,201
nn,binary,nn_binary,win_40,train,actual_1,215,424
nn,binary,nn_binary,win_40,val,actual_0,28,7
nn,binary,nn_binary,win_40,val,actual_1,11,17
nn,binary,nn_binary,win_40,test,actual_0,26,6
nn,binary,nn_binary,win_40,test,actual_1,24,7
