model_id,model_name,class_type,candidate_id,window_id,val_accuracy,val_n_obs,val_cumulative_return,val_mean_return,val_volatility,val_sharpe,val_hit_rate,val_active_rate,selected_abs_threshold_train_only,multiclass_quantile,C,hidden_layer_sizes,alpha,learning_rate_init,selection_metric,selection_metric_filled,rank_within_window,selected
nn_multiclass,nn,multiclass,cand_067,win_01,0.6984126984126984,63.0,0.03954958931956476,0.0006222273636330345,0.0036208447631205943,0.17184591009551406,0.047619047619047616,0.06349206349206349,0.026653000296378473,0.67,,"(32, 16)",1e-05,0.0005,0.17184591009551406,0.17184591009551406,1,1
nn_multiclass,nn,multiclass,cand_111,win_02,0.5901639344262295,61.0,0.0954808948270871,0.001521986035453071,0.00734576662622398,0.20719226636191587,0.08196721311475409,0.11475409836065574,0.026197084056681377,0.67,,"(64, 32)",0.0001,0.001,0.20719226636191587,0.20719226636191587,1,1
nn_multiclass,nn,multiclass,cand_124,win_03,0.49230769230769234,65.0,0.15336293621127206,0.002248773281819379,0.0103977964696161,0.2162740238655976,0.23076923076923078,0.38461538461538464,0.03130606529061308,0.75,,"(64, 32)",0.01,0.0005,0.2162740238655976,0.2162740238655976,1,1
nn_multiclass,nn,multiclass,cand_085,win_04,0.5625,64.0,0.09787607988765035,0.0014805454499637735,0.006512332030582398,0.227344896269266,0.15625,0.234375,0.017251725346190405,0.5,,"(32, 16)",0.001,0.001,0.227344896269266,0.227344896269266,1,1
nn_multiclass,nn,multiclass,cand_123,win_05,0.746031746031746,63.0,0.1325503903240317,0.001998424811679636,0.006546426074846214,0.3052695911985201,0.12698412698412698,0.12698412698412698,0.024739912115254097,0.67,,"(64, 32)",0.01,0.0005,0.3052695911985201,0.3052695911985201,1,1
nn_multiclass,nn,multiclass,cand_052,win_06,0.5245901639344263,61.0,0.05109474645788015,0.0008437669740267854,0.007382482082431194,0.11429312859895444,0.18032786885245902,0.32786885245901637,0.0297725129494113,0.75,,"(32,)",0.001,0.0005,0.11429312859895444,0.11429312859895444,1,1
nn_multiclass,nn,multiclass,cand_125,win_07,0.40625,64.0,0.2718913146933055,0.0038764001187340446,0.015264119392125422,0.2539550444510958,0.359375,0.5625,0.016322945952682355,0.5,,"(64, 32)",0.01,0.001,0.2539550444510958,0.2539550444510958,1,1
nn_multiclass,nn,multiclass,cand_077,win_08,0.578125,64.0,0.09378275899307043,0.001424171529871449,0.006797112684428047,0.20952595550375047,0.1875,0.265625,0.0161750027970764,0.5,,"(32, 16)",0.0001,0.001,0.20952595550375047,0.20952595550375047,1,1
nn_multiclass,nn,multiclass,cand_039,win_09,0.6190476190476191,63.0,0.06847642019937061,0.0010617309970966148,0.004499490496654618,0.23596693845359035,0.12698412698412698,0.19047619047619047,0.023671658601694522,0.67,,"(32,)",1e-05,0.001,0.23596693845359035,0.23596693845359035,1,1
nn_multiclass,nn,multiclass,cand_091,win_10,0.6557377049180327,61.0,0.01566519878218453,0.000255671515919271,0.0012966747793288329,0.19717474265336465,0.04918032786885246,0.04918032786885246,0.02364463991069972,0.67,,"(32, 16)",0.01,0.0005,0.19717474265336465,0.19717474265336465,1,1
nn_multiclass,nn,multiclass,cand_001,win_11,0.421875,64.0,0.027125156837677578,0.0004199776791232704,0.001867604886712148,0.22487501618322822,0.078125,0.09375,0.015557214991821278,0.5,,"(16,)",1e-05,0.0005,0.22487501618322822,0.22487501618322822,1,1
nn_multiclass,nn,multiclass,cand_110,win_12,0.296875,64.0,0.1897058533633691,0.0028993294166223212,0.019506661443254837,0.14863278501328958,0.421875,0.828125,0.019514583383914826,0.6,,"(64, 32)",0.0001,0.001,0.14863278501328958,0.14863278501328958,1,1
nn_multiclass,nn,multiclass,cand_061,win_13,0.45161290322580644,62.0,0.3059501629110726,0.004434073542704366,0.015768197148710174,0.28120358344625784,0.20967741935483872,0.3548387096774194,0.015384249437790931,0.5,,"(32,)",0.01,0.001,0.28120358344625784,0.28120358344625784,1,1
nn_multiclass,nn,multiclass,cand_095,win_14,0.32786885245901637,61.0,0.12855049574061717,0.0021070401725097484,0.015935459092947395,0.132223374313845,0.3442622950819672,0.6065573770491803,0.023272388017005277,0.67,,"(32, 16)",0.01,0.001,0.132223374313845,0.132223374313845,1,1
nn_multiclass,nn,multiclass,cand_007,win_15,0.703125,64.0,0.0646448356540621,0.0009885567981383955,0.0043800348830565355,0.2256961016366489,0.078125,0.09375,0.023451608290741905,0.67,,"(16,)",1e-05,0.001,0.2256961016366489,0.2256961016366489,1,1
nn_multiclass,nn,multiclass,cand_085,win_16,0.40625,64.0,0.24165533307755394,0.0034632398214075265,0.012472681050077105,0.27766602926049466,0.46875,0.75,0.01568654052044849,0.5,,"(32, 16)",0.001,0.001,0.27766602926049466,0.27766602926049466,1,1
nn_multiclass,nn,multiclass,cand_114,win_17,0.6190476190476191,63.0,0.15942242316447874,0.002432592746069717,0.013129232464785557,0.18528065159896226,0.1746031746031746,0.31746031746031744,0.020096196338856752,0.6,,"(64, 32)",0.001,0.0005,0.18528065159896226,0.18528065159896226,1,1
nn_multiclass,nn,multiclass,cand_004,win_18,0.4838709677419355,62.0,0.08307004039126142,0.0013079540488054686,0.006460551110170931,0.2024523955466182,0.06451612903225806,0.08064516129032258,0.029118699062537612,0.75,,"(16,)",1e-05,0.0005,0.2024523955466182,0.2024523955466182,1,1
nn_multiclass,nn,multiclass,cand_042,win_19,0.4126984126984127,63.0,0.3086838966321004,0.004338604337144917,0.011084774931227599,0.39140211362545296,0.30158730158730157,0.3968253968253968,0.020746250949290633,0.6,,"(32,)",0.0001,0.0005,0.39140211362545296,0.39140211362545296,1,1
nn_multiclass,nn,multiclass,cand_053,win_20,0.2857142857142857,63.0,0.15619912233438993,0.0023352860459691085,0.007727215372236254,0.30221573147291186,0.15873015873015872,0.1746031746031746,0.016740129631996448,0.5,,"(32,)",0.001,0.001,0.30221573147291186,0.30221573147291186,1,1
nn_multiclass,nn,multiclass,cand_118,win_21,0.36507936507936506,63.0,0.1832690651413431,0.002837480292721935,0.018227804453749493,0.15566769436887723,0.5873015873015873,0.9523809523809523,0.02159422424987598,0.6,,"(64, 32)",0.001,0.001,0.15566769436887723,0.15566769436887723,1,1
nn_multiclass,nn,multiclass,cand_118,win_22,0.46774193548387094,62.0,0.1943204406458927,0.003009171539938998,0.017025136376749836,0.17674874804811758,0.3387096774193548,0.532258064516129,0.02210408591116777,0.6,,"(64, 32)",0.001,0.001,0.17674874804811758,0.17674874804811758,1,1
