model_id,model_name,class_type,candidate_id,window_id,val_accuracy,val_n_obs,val_cumulative_return,val_mean_return,val_volatility,val_sharpe,val_hit_rate,val_active_rate,selected_abs_threshold_train_only,multiclass_quantile,C,hidden_layer_sizes,alpha,learning_rate_init,selection_metric,selection_metric_filled,rank_within_window,selected
nn_binary,nn,binary,cand_022,win_01,0.47619047619047616,63.0,-0.04192314500132921,-0.0005355714057368463,0.017087349847796474,-0.03134315212759056,0.47619047619047616,1.0,,,,"(32, 16)",0.001,0.001,-0.03134315212759056,-0.03134315212759056,1,1
nn_binary,nn,binary,cand_032,win_01,0.5079365079365079,63.0,-0.04685080607588876,-0.0006171656595820087,0.017094210593297837,-0.0361037824012758,0.49206349206349204,1.0,,,,"(64, 32)",0.01,0.001,-0.0361037824012758,-0.0361037824012758,2,0
nn_binary,nn,binary,cand_001,win_01,0.5238095238095238,63.0,-0.07845824735137585,-0.0011528239021579624,0.017053433899920506,-0.06760069021426449,0.49206349206349204,1.0,,,,"(16,)",1e-05,0.0005,-0.06760069021426449,-0.06760069021426449,3,0
nn_binary,nn,binary,cand_003,win_01,0.5238095238095238,63.0,-0.07845824735137585,-0.0011528239021579624,0.017053433899920506,-0.06760069021426449,0.49206349206349204,1.0,,,,"(16,)",0.0001,0.0005,-0.06760069021426449,-0.06760069021426449,4,0
nn_binary,nn,binary,cand_005,win_01,0.5238095238095238,63.0,-0.07845824735137585,-0.0011528239021579624,0.017053433899920506,-0.06760069021426449,0.49206349206349204,1.0,,,,"(16,)",0.001,0.0005,-0.06760069021426449,-0.06760069021426449,5,0
nn_binary,nn,binary,cand_007,win_01,0.5238095238095238,63.0,-0.07845824735137585,-0.0011528239021579624,0.017053433899920506,-0.06760069021426449,0.49206349206349204,1.0,,,,"(16,)",0.01,0.0005,-0.06760069021426449,-0.06760069021426449,6,0
nn_binary,nn,binary,cand_024,win_01,0.5079365079365079,63.0,-0.07954754940512498,-0.0011685456807806458,0.01706909623999308,-0.06845972770618813,0.5079365079365079,1.0,,,,"(32, 16)",0.01,0.001,-0.06845972770618813,-0.06845972770618813,7,0
nn_binary,nn,binary,cand_018,win_01,0.4603174603174603,63.0,-0.0969325774091091,-0.001473768944837157,0.017044166686438364,-0.08646764444106263,0.4603174603174603,1.0,,,,"(32, 16)",1e-05,0.001,-0.08646764444106263,-0.08646764444106263,8,0
nn_binary,nn,binary,cand_030,win_01,0.4444444444444444,63.0,-0.10521476426863607,-0.0016200946421457145,0.0170291021801996,-0.09513682077904623,0.42857142857142855,1.0,,,,"(64, 32)",0.001,0.001,-0.09513682077904623,-0.09513682077904623,9,0
nn_binary,nn,binary,cand_026,win_01,0.42857142857142855,63.0,-0.10873073482516382,-0.0016834535456737968,0.016979157832389662,-0.0991482358720065,0.4126984126984127,1.0,,,,"(64, 32)",1e-05,0.001,-0.0991482358720065,-0.0991482358720065,10,0
