model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_minus_1,n_true_minus_1,n_pred_0,n_true_0,n_pred_1,n_true_1
nn,multiclass,nn_multiclass,win_21,train,0.8800635424940428,1259.0,199.0,244.0,865.0,765.0,195.0,250.0
nn,multiclass,nn_multiclass,win_21,val,0.9047619047619048,63.0,19.0,23.0,33.0,28.0,11.0,12.0
nn,multiclass,nn_multiclass,win_21,test,0.3870967741935484,62.0,22.0,15.0,37.0,33.0,3.0,14.0
nn,multiclass,nn_multiclass,win_22,train,0.931691818903892,1259.0,237.0,260.0,799.0,759.0,223.0,240.0
nn,multiclass,nn_multiclass,win_22,val,0.9354838709677419,62.0,13.0,15.0,37.0,33.0,12.0,14.0
nn,multiclass,nn_multiclass,win_22,test,0.31746031746031744,63.0,31.0,7.0,28.0,40.0,4.0,16.0
nn,multiclass,nn_multiclass,win_23,train,0.7563492063492063,1260.0,116.0,217.0,1062.0,842.0,82.0,201.0
nn,multiclass,nn_multiclass,win_23,val,0.7301587301587301,63.0,1.0,7.0,59.0,44.0,3.0,12.0
nn,multiclass,nn_multiclass,win_23,test,0.53125,64.0,8.0,10.0,35.0,47.0,21.0,7.0
nn,multiclass,nn_multiclass,win_24,train,0.6796502384737679,1258.0,230.0,311.0,783.0,628.0,245.0,319.0
nn,multiclass,nn_multiclass,win_24,val,0.65625,64.0,10.0,19.0,46.0,33.0,8.0,12.0
nn,multiclass,nn_multiclass,win_24,test,0.3492063492063492,63.0,12.0,17.0,30.0,27.0,21.0,19.0
nn,multiclass,nn_multiclass,win_25,train,0.7813990461049285,1258.0,214.0,267.0,863.0,759.0,181.0,232.0
nn,multiclass,nn_multiclass,win_25,val,0.746031746031746,63.0,12.0,15.0,39.0,33.0,12.0,15.0
nn,multiclass,nn_multiclass,win_25,test,0.3709677419354839,62.0,25.0,17.0,9.0,31.0,28.0,14.0
nn,multiclass,nn_multiclass,win_26,train,0.7178060413354531,1258.0,87.0,219.0,1130.0,845.0,41.0,194.0
nn,multiclass,nn_multiclass,win_26,val,0.6451612903225806,62.0,3.0,13.0,59.0,39.0,0.0,10.0
nn,multiclass,nn_multiclass,win_26,test,0.7777777777777778,63.0,1.0,6.0,62.0,50.0,0.0,7.0
nn,multiclass,nn_multiclass,win_27,train,0.670373312152502,1259.0,149.0,271.0,1031.0,751.0,79.0,237.0
nn,multiclass,nn_multiclass,win_27,val,0.746031746031746,63.0,3.0,11.0,57.0,42.0,3.0,10.0
nn,multiclass,nn_multiclass,win_27,test,0.703125,64.0,1.0,13.0,63.0,44.0,0.0,7.0
nn,multiclass,nn_multiclass,win_28,train,0.8282988871224165,1258.0,208.0,273.0,875.0,749.0,175.0,236.0
nn,multiclass,nn_multiclass,win_28,val,0.84375,64.0,6.0,13.0,54.0,44.0,4.0,7.0
nn,multiclass,nn_multiclass,win_28,test,0.2222222222222222,63.0,51.0,7.0,8.0,33.0,4.0,23.0
nn,multiclass,nn_multiclass,win_29,train,0.7782193958664547,1258.0,216.0,271.0,882.0,758.0,160.0,229.0
nn,multiclass,nn_multiclass,win_29,val,0.746031746031746,63.0,4.0,7.0,42.0,34.0,17.0,22.0
nn,multiclass,nn_multiclass,win_29,test,0.5081967213114754,61.0,0.0,11.0,47.0,37.0,14.0,13.0
nn,multiclass,nn_multiclass,win_30,train,0.9538950715421304,1258.0,207.0,218.0,860.0,842.0,191.0,198.0
nn,multiclass,nn_multiclass,win_30,val,0.8852459016393442,61.0,7.0,9.0,45.0,42.0,9.0,10.0
nn,multiclass,nn_multiclass,win_30,test,0.6031746031746031,63.0,3.0,12.0,60.0,39.0,0.0,12.0
nn,multiclass,nn_multiclass,win_31,train,0.8426073131955485,1258.0,229.0,266.0,830.0,755.0,199.0,237.0
nn,multiclass,nn_multiclass,win_31,val,0.8888888888888888,63.0,9.0,14.0,44.0,37.0,10.0,12.0
nn,multiclass,nn_multiclass,win_31,test,0.5625,64.0,9.0,9.0,54.0,41.0,1.0,14.0
nn,multiclass,nn_multiclass,win_32,train,0.801909307875895,1257.0,118.0,222.0,981.0,837.0,158.0,198.0
nn,multiclass,nn_multiclass,win_32,val,0.84375,64.0,3.0,7.0,56.0,48.0,5.0,9.0
nn,multiclass,nn_multiclass,win_32,test,0.36507936507936506,63.0,25.0,10.0,26.0,45.0,12.0,8.0
nn,multiclass,nn_multiclass,win_33,train,0.6793953858392999,1257.0,39.0,223.0,1206.0,839.0,12.0,195.0
nn,multiclass,nn_multiclass,win_33,val,0.7142857142857143,63.0,0.0,10.0,63.0,45.0,0.0,8.0
nn,multiclass,nn_multiclass,win_33,test,0.2698412698412698,63.0,41.0,9.0,22.0,33.0,0.0,21.0
nn,multiclass,nn_multiclass,win_34,train,0.8044515103338633,1258.0,69.0,156.0,1133.0,947.0,56.0,155.0
nn,multiclass,nn_multiclass,win_34,val,0.8571428571428571,63.0,4.0,6.0,48.0,43.0,11.0,14.0
nn,multiclass,nn_multiclass,win_34,test,0.5555555555555556,63.0,3.0,12.0,52.0,34.0,8.0,17.0
nn,multiclass,nn_multiclass,win_35,train,0.7333333333333333,1260.0,245.0,313.0,754.0,642.0,261.0,305.0
nn,multiclass,nn_multiclass,win_35,val,0.746031746031746,63.0,17.0,18.0,15.0,19.0,31.0,26.0
nn,multiclass,nn_multiclass,win_35,test,0.46875,64.0,15.0,20.0,32.0,30.0,17.0,14.0
nn,multiclass,nn_multiclass,win_36,train,0.675933280381255,1259.0,130.0,254.0,1019.0,755.0,110.0,250.0
nn,multiclass,nn_multiclass,win_36,val,0.71875,64.0,10.0,16.0,53.0,39.0,1.0,9.0
nn,multiclass,nn_multiclass,win_36,test,0.4126984126984127,63.0,4.0,18.0,54.0,31.0,5.0,14.0
nn,multiclass,nn_multiclass,win_37,train,0.6393963463065926,1259.0,52.0,252.0,1153.0,761.0,54.0,246.0
nn,multiclass,nn_multiclass,win_37,val,0.5714285714285714,63.0,13.0,17.0,48.0,32.0,2.0,14.0
nn,multiclass,nn_multiclass,win_37,test,0.43333333333333335,60.0,9.0,13.0,51.0,31.0,0.0,16.0
nn,multiclass,nn_multiclass,win_38,train,0.8594122319301033,1259.0,210.0,254.0,853.0,760.0,196.0,245.0
nn,multiclass,nn_multiclass,win_38,val,0.9166666666666666,60.0,14.0,13.0,32.0,31.0,14.0,16.0
nn,multiclass,nn_multiclass,win_38,test,0.4126984126984127,63.0,9.0,11.0,25.0,38.0,29.0,14.0
nn,multiclass,nn_multiclass,win_39,train,0.9276054097056484,1257.0,218.0,250.0,796.0,755.0,243.0,252.0
nn,multiclass,nn_multiclass,win_39,val,0.9682539682539683,63.0,9.0,11.0,39.0,37.0,15.0,15.0
nn,multiclass,nn_multiclass,win_39,test,0.31746031746031744,63.0,16.0,16.0,19.0,40.0,28.0,7.0
nn,multiclass,nn_multiclass,win_40,train,0.86793953858393,1257.0,106.0,155.0,1043.0,939.0,108.0,163.0
nn,multiclass,nn_multiclass,win_40,val,0.9047619047619048,63.0,3.0,7.0,57.0,51.0,3.0,5.0
nn,multiclass,nn_multiclass,win_40,test,0.6507936507936508,63.0,14.0,6.0,47.0,52.0,2.0,5.0
