model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_0,n_true_0,n_pred_1,n_true_1
nn,binary,nn_binary,win_20,test,0.49206349206349204,63.0,37.0,37.0,26.0,26.0
nn,binary,nn_binary,win_21,train,0.9181890389197777,1259.0,627.0,608.0,632.0,651.0
nn,binary,nn_binary,win_21,val,0.9682539682539683,63.0,39.0,37.0,24.0,26.0
nn,binary,nn_binary,win_21,test,0.5,62.0,47.0,30.0,15.0,32.0
nn,binary,nn_binary,win_22,train,0.6036536934074662,1259.0,575.0,618.0,684.0,641.0
nn,binary,nn_binary,win_22,val,0.6451612903225806,62.0,30.0,30.0,32.0,32.0
nn,binary,nn_binary,win_22,test,0.4126984126984127,63.0,19.0,28.0,44.0,35.0
nn,binary,nn_binary,win_23,train,0.7555555555555555,1260.0,608.0,618.0,652.0,642.0
nn,binary,nn_binary,win_23,val,0.7777777777777778,63.0,20.0,28.0,43.0,35.0
nn,binary,nn_binary,win_23,test,0.53125,64.0,24.0,28.0,40.0,36.0
nn,binary,nn_binary,win_24,train,0.8553259141494436,1258.0,538.0,616.0,720.0,642.0
nn,binary,nn_binary,win_24,val,0.84375,64.0,26.0,28.0,38.0,36.0
nn,binary,nn_binary,win_24,test,0.6349206349206349,63.0,34.0,31.0,29.0,32.0
nn,binary,nn_binary,win_25,train,0.7551669316375199,1258.0,607.0,615.0,651.0,643.0
nn,binary,nn_binary,win_25,val,0.8571428571428571,63.0,30.0,31.0,33.0,32.0
nn,binary,nn_binary,win_25,test,0.5,62.0,38.0,31.0,24.0,31.0
nn,binary,nn_binary,win_26,train,0.8235294117647058,1258.0,636.0,618.0,622.0,640.0
nn,binary,nn_binary,win_26,val,0.8709677419354839,62.0,31.0,31.0,31.0,31.0
nn,binary,nn_binary,win_26,test,0.5238095238095238,63.0,34.0,38.0,29.0,25.0
nn,binary,nn_binary,win_27,train,0.8586179507545671,1259.0,594.0,616.0,665.0,643.0
nn,binary,nn_binary,win_27,val,0.8253968253968254,63.0,35.0,38.0,28.0,25.0
nn,binary,nn_binary,win_27,test,0.5,64.0,39.0,37.0,25.0,27.0
nn,binary,nn_binary,win_28,train,0.6430842607313195,1258.0,596.0,621.0,662.0,637.0
nn,binary,nn_binary,win_28,val,0.640625,64.0,56.0,37.0,8.0,27.0
nn,binary,nn_binary,win_28,test,0.3333333333333333,63.0,63.0,21.0,0.0,42.0
nn,binary,nn_binary,win_29,train,0.6868044515103339,1258.0,636.0,630.0,622.0,628.0
nn,binary,nn_binary,win_29,val,0.6666666666666666,63.0,16.0,21.0,47.0,42.0
nn,binary,nn_binary,win_29,test,0.4426229508196721,61.0,19.0,33.0,42.0,28.0
nn,binary,nn_binary,win_30,train,0.787758346581876,1258.0,642.0,621.0,616.0,637.0
nn,binary,nn_binary,win_30,val,0.819672131147541,61.0,36.0,33.0,25.0,28.0
