model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_0,n_true_0,n_pred_1,n_true_1,n_pred_minus_1,n_true_minus_1
logit,binary,logit_binary,win_07,test,0.5,64.0,22.0,28.0,42.0,36.0,,
logit,binary,logit_binary,win_08,train,0.543357199681782,1257.0,495.0,635.0,762.0,622.0,,
logit,binary,logit_binary,win_08,val,0.5625,64.0,10.0,28.0,54.0,36.0,,
logit,binary,logit_binary,win_08,test,0.47619047619047616,63.0,27.0,30.0,36.0,33.0,,
logit,binary,logit_binary,win_09,train,0.5425616547334925,1257.0,460.0,629.0,797.0,628.0,,
logit,binary,logit_binary,win_09,val,0.5555555555555556,63.0,16.0,30.0,47.0,33.0,,
logit,binary,logit_binary,win_09,test,0.4262295081967213,61.0,41.0,26.0,20.0,35.0,,
logit,binary,logit_binary,win_10,train,0.5416997617156474,1259.0,360.0,625.0,899.0,634.0,,
logit,binary,logit_binary,win_10,val,0.5901639344262295,61.0,5.0,26.0,56.0,35.0,,
logit,binary,logit_binary,win_10,test,0.46875,64.0,7.0,33.0,57.0,31.0,,
logit,binary,logit_binary,win_11,train,0.5361397934868943,1259.0,350.0,616.0,909.0,643.0,,
logit,binary,logit_binary,win_11,val,0.5,64.0,27.0,33.0,37.0,31.0,,
logit,binary,logit_binary,win_11,test,0.640625,64.0,21.0,22.0,43.0,42.0,,
logit,binary,logit_binary,win_12,train,0.5369340746624305,1259.0,340.0,611.0,919.0,648.0,,
logit,binary,logit_binary,win_12,val,0.671875,64.0,7.0,22.0,57.0,42.0,,
logit,binary,logit_binary,win_12,test,0.4838709677419355,62.0,36.0,32.0,26.0,30.0,,
logit,binary,logit_binary,win_13,train,0.5369340746624305,1259.0,320.0,595.0,939.0,664.0,,
logit,binary,logit_binary,win_13,val,0.45161290322580644,62.0,20.0,32.0,42.0,30.0,,
logit,binary,logit_binary,win_13,test,0.4918032786885246,61.0,37.0,28.0,24.0,33.0,,
logit,binary,logit_binary,win_14,train,0.5357710651828299,1258.0,243.0,601.0,1015.0,657.0,,
logit,binary,logit_binary,win_14,val,0.6065573770491803,61.0,30.0,28.0,31.0,33.0,,
logit,binary,logit_binary,win_14,test,0.53125,64.0,46.0,32.0,18.0,32.0,,
logit,binary,logit_binary,win_15,train,0.527027027027027,1258.0,191.0,598.0,1067.0,660.0,,
logit,binary,logit_binary,win_15,val,0.4375,64.0,36.0,32.0,28.0,32.0,,
logit,binary,logit_binary,win_15,test,0.4375,64.0,32.0,34.0,32.0,30.0,,
logit,binary,logit_binary,win_16,train,0.5349761526232114,1258.0,292.0,597.0,966.0,661.0,,
logit,binary,logit_binary,win_16,val,0.5,64.0,50.0,34.0,14.0,30.0,,
logit,binary,logit_binary,win_16,test,0.49206349206349204,63.0,23.0,35.0,40.0,28.0,,
logit,binary,logit_binary,win_17,train,0.5393169181890389,1259.0,362.0,598.0,897.0,661.0,,
logit,binary,logit_binary,win_17,val,0.5079365079365079,63.0,34.0,35.0,29.0,28.0,,
logit,binary,logit_binary,win_17,test,0.45161290322580644,62.0,16.0,30.0,46.0,32.0,,
logit,binary,logit_binary,win_18,train,0.5242255758538522,1259.0,404.0,609.0,855.0,650.0,,
logit,binary,logit_binary,win_18,val,0.5,62.0,13.0,30.0,49.0,32.0,,
logit,binary,logit_binary,win_18,test,0.5555555555555556,63.0,37.0,33.0,26.0,30.0,,
logit,binary,logit_binary,win_19,train,0.5194598888006354,1259.0,424.0,609.0,835.0,650.0,,
logit,binary,logit_binary,win_19,val,0.5396825396825397,63.0,40.0,33.0,23.0,30.0,,
logit,binary,logit_binary,win_19,test,0.4444444444444444,63.0,2.0,35.0,61.0,28.0,,
logit,binary,logit_binary,win_20,train,0.5448768864177919,1259.0,410.0,605.0,849.0,654.0,,
logit,binary,logit_binary,win_20,val,0.5873015873015873,63.0,49.0,35.0,14.0,28.0,,
logit,binary,logit_binary,win_20,test,0.49206349206349204,63.0,39.0,37.0,24.0,26.0,,
logit,binary,logit_binary,win_21,train,0.5416997617156474,1259.0,433.0,608.0,826.0,651.0,,
logit,binary,logit_binary,win_21,val,0.5873015873015873,63.0,63.0,37.0,0.0,26.0,,
logit,binary,logit_binary,win_21,test,0.5,62.0,61.0,30.0,1.0,32.0,,
logit,binary,logit_binary,win_22,train,0.5385226370135028,1259.0,521.0,618.0,738.0,641.0,,
logit,binary,logit_binary,win_22,val,0.4838709677419355,62.0,28.0,30.0,34.0,32.0,,
logit,binary,logit_binary,win_22,test,0.38095238095238093,63.0,41.0,28.0,22.0,35.0,,
logit,binary,logit_binary,win_23,train,0.5396825396825397,1260.0,470.0,618.0,790.0,642.0,,
logit,binary,logit_binary,win_23,val,0.4444444444444444,63.0,17.0,28.0,46.0,35.0,,
logit,binary,logit_binary,win_23,test,0.5625,64.0,30.0,28.0,34.0,36.0,,
logit,binary,logit_binary,win_24,train,0.5405405405405406,1258.0,478.0,616.0,780.0,642.0,,
logit,binary,logit_binary,win_24,val,0.609375,64.0,15.0,28.0,49.0,36.0,,
logit,binary,logit_binary,win_24,test,0.5555555555555556,63.0,35.0,31.0,28.0,32.0,,
logit,binary,logit_binary,win_25,train,0.5445151033386327,1258.0,496.0,615.0,762.0,643.0,,
