model_name,class_type,model_id,window_id,split,actual_label,pred_-1,pred_0,pred_1
nn,multiclass,nn_multiclass,win_10,train,actual_0,15,807,20
nn,multiclass,nn_multiclass,win_10,train,actual_1,10,109,90
nn,multiclass,nn_multiclass,win_10,val,actual_-1,2,5,0
nn,multiclass,nn_multiclass,win_10,val,actual_0,0,41,1
nn,multiclass,nn_multiclass,win_10,val,actual_1,0,8,4
nn,multiclass,nn_multiclass,win_10,test,actual_-1,4,9,1
nn,multiclass,nn_multiclass,win_10,test,actual_0,14,21,6
nn,multiclass,nn_multiclass,win_10,test,actual_1,3,3,3
nn,multiclass,nn_multiclass,win_11,train,actual_-1,58,233,16
nn,multiclass,nn_multiclass,win_11,train,actual_0,29,576,25
nn,multiclass,nn_multiclass,win_11,train,actual_1,21,264,37
nn,multiclass,nn_multiclass,win_11,val,actual_-1,3,13,1
nn,multiclass,nn_multiclass,win_11,val,actual_0,4,26,1
nn,multiclass,nn_multiclass,win_11,val,actual_1,2,14,0
nn,multiclass,nn_multiclass,win_11,test,actual_-1,4,9,0
nn,multiclass,nn_multiclass,win_11,test,actual_0,11,13,1
nn,multiclass,nn_multiclass,win_11,test,actual_1,9,16,1
nn,multiclass,nn_multiclass,win_12,train,actual_-1,160,70,14
nn,multiclass,nn_multiclass,win_12,train,actual_0,22,715,25
nn,multiclass,nn_multiclass,win_12,train,actual_1,6,66,181
nn,multiclass,nn_multiclass,win_12,val,actual_-1,8,3,0
nn,multiclass,nn_multiclass,win_12,val,actual_0,0,31,1
nn,multiclass,nn_multiclass,win_12,val,actual_1,0,2,19
nn,multiclass,nn_multiclass,win_12,test,actual_-1,6,18,2
nn,multiclass,nn_multiclass,win_12,test,actual_0,3,19,0
nn,multiclass,nn_multiclass,win_12,test,actual_1,2,12,0
nn,multiclass,nn_multiclass,win_13,train,actual_-1,97,152,34
nn,multiclass,nn_multiclass,win_13,train,actual_0,38,543,61
nn,multiclass,nn_multiclass,win_13,train,actual_1,36,183,115
nn,multiclass,nn_multiclass,win_13,val,actual_-1,21,3,2
nn,multiclass,nn_multiclass,win_13,val,actual_0,4,13,1
nn,multiclass,nn_multiclass,win_13,val,actual_1,7,3,8
nn,multiclass,nn_multiclass,win_13,test,actual_-1,14,0,3
nn,multiclass,nn_multiclass,win_13,test,actual_0,12,2,6
nn,multiclass,nn_multiclass,win_13,test,actual_1,14,2,8
nn,multiclass,nn_multiclass,win_14,train,actual_-1,106,82,10
nn,multiclass,nn_multiclass,win_14,train,actual_0,22,810,20
nn,multiclass,nn_multiclass,win_14,train,actual_1,14,58,136
nn,multiclass,nn_multiclass,win_14,val,actual_-1,7,2,2
nn,multiclass,nn_multiclass,win_14,val,actual_0,3,29,0
nn,multiclass,nn_multiclass,win_14,val,actual_1,0,3,15
nn,multiclass,nn_multiclass,win_14,test,actual_-1,0,9,0
nn,multiclass,nn_multiclass,win_14,test,actual_0,3,41,3
nn,multiclass,nn_multiclass,win_14,test,actual_1,0,8,0
nn,multiclass,nn_multiclass,win_15,train,actual_-1,14,182,5
nn,multiclass,nn_multiclass,win_15,train,actual_0,5,826,8
nn,multiclass,nn_multiclass,win_15,train,actual_1,6,195,17
nn,multiclass,nn_multiclass,win_15,val,actual_-1,0,9,0
nn,multiclass,nn_multiclass,win_15,val,actual_0,0,47,0
nn,multiclass,nn_multiclass,win_15,val,actual_1,0,8,0
nn,multiclass,nn_multiclass,win_15,test,actual_-1,4,6,2
nn,multiclass,nn_multiclass,win_15,test,actual_0,5,28,9
nn,multiclass,nn_multiclass,win_15,test,actual_1,0,9,1
nn,multiclass,nn_multiclass,win_16,train,actual_-1,175,88,30
nn,multiclass,nn_multiclass,win_16,train,actual_0,28,546,50
nn,multiclass,nn_multiclass,win_16,train,actual_1,34,87,220
nn,multiclass,nn_multiclass,win_16,val,actual_-1,12,4,0
nn,multiclass,nn_multiclass,win_16,val,actual_0,3,30,4
nn,multiclass,nn_multiclass,win_16,val,actual_1,1,4,6
nn,multiclass,nn_multiclass,win_16,test,actual_-1,2,6,8
nn,multiclass,nn_multiclass,win_16,test,actual_0,7,13,15
nn,multiclass,nn_multiclass,win_16,test,actual_1,3,3,6
nn,multiclass,nn_multiclass,win_17,train,actual_-1,184,51,10
nn,multiclass,nn_multiclass,win_17,train,actual_0,18,710,24
nn,multiclass,nn_multiclass,win_17,train,actual_1,10,52,200
nn,multiclass,nn_multiclass,win_17,val,actual_-1,8,5,0
nn,multiclass,nn_multiclass,win_17,val,actual_0,1,40,0
nn,multiclass,nn_multiclass,win_17,val,actual_1,0,2,7
nn,multiclass,nn_multiclass,win_17,test,actual_-1,4,6,12
nn,multiclass,nn_multiclass,win_17,test,actual_0,6,7,11
nn,multiclass,nn_multiclass,win_17,test,actual_1,6,3,7
nn,multiclass,nn_multiclass,win_18,train,actual_-1,6,132,0
nn,multiclass,nn_multiclass,win_18,train,actual_0,1,959,1
nn,multiclass,nn_multiclass,win_18,train,actual_1,3,156,1
nn,multiclass,nn_multiclass,win_18,val,actual_-1,7,13,0
nn,multiclass,nn_multiclass,win_18,val,actual_0,2,27,0
nn,multiclass,nn_multiclass,win_18,val,actual_1,1,10,2
nn,multiclass,nn_multiclass,win_18,test,actual_-1,0,17,0
nn,multiclass,nn_multiclass,win_18,test,actual_0,0,38,0
nn,multiclass,nn_multiclass,win_18,test,actual_1,0,8,0
nn,multiclass,nn_multiclass,win_19,train,actual_-1,56,182,11
nn,multiclass,nn_multiclass,win_19,train,actual_0,19,719,25
nn,multiclass,nn_multiclass,win_19,train,actual_1,20,181,46
nn,multiclass,nn_multiclass,win_19,val,actual_-1,12,6,1
nn,multiclass,nn_multiclass,win_19,val,actual_0,2,26,2
nn,multiclass,nn_multiclass,win_19,val,actual_1,2,9,3
nn,multiclass,nn_multiclass,win_19,test,actual_-1,0,23,0
nn,multiclass,nn_multiclass,win_19,test,actual_0,0,27,0
nn,multiclass,nn_multiclass,win_19,test,actual_1,0,13,0
nn,multiclass,nn_multiclass,win_20,train,actual_-1,120,149,26
nn,multiclass,nn_multiclass,win_20,train,actual_0,39,556,47
nn,multiclass,nn_multiclass,win_20,train,actual_1,34,182,106
nn,multiclass,nn_multiclass,win_20,val,actual_-1,16,3,5
nn,multiclass,nn_multiclass,win_20,val,actual_0,4,11,4
nn,multiclass,nn_multiclass,win_20,val,actual_1,1,5,14
nn,multiclass,nn_multiclass,win_20,test,actual_-1,2,2,21
nn,multiclass,nn_multiclass,win_20,test,actual_0,6,2,12
nn,multiclass,nn_multiclass,win_20,test,actual_1,4,2,12
nn,multiclass,nn_multiclass,win_21,train,actual_-1,186,54,4
nn,multiclass,nn_multiclass,win_21,train,actual_0,8,744,13
nn,multiclass,nn_multiclass,win_21,train,actual_1,5,67,178
nn,multiclass,nn_multiclass,win_21,val,actual_-1,19,3,1
nn,multiclass,nn_multiclass,win_21,val,actual_0,0,28,0
nn,multiclass,nn_multiclass,win_21,val,actual_1,0,2,10
nn,multiclass,nn_multiclass,win_21,test,actual_-1,5,9,1
nn,multiclass,nn_multiclass,win_21,test,actual_0,12,19,2
nn,multiclass,nn_multiclass,win_21,test,actual_1,5,9,0
nn,multiclass,nn_multiclass,win_22,train,actual_-1,227,27,6
nn,multiclass,nn_multiclass,win_22,train,actual_0,6,741,12
nn,multiclass,nn_multiclass,win_22,train,actual_1,4,31,205
nn,multiclass,nn_multiclass,win_22,val,actual_-1,13,2,0
nn,multiclass,nn_multiclass,win_22,val,actual_0,0,33,0
nn,multiclass,nn_multiclass,win_22,val,actual_1,0,2,12
nn,multiclass,nn_multiclass,win_22,test,actual_-1,3,3,1
nn,multiclass,nn_multiclass,win_22,test,actual_0,20,17,3
nn,multiclass,nn_multiclass,win_22,test,actual_1,8,8,0
nn,multiclass,nn_multiclass,win_23,train,actual_-1,79,123,15
nn,multiclass,nn_multiclass,win_23,train,actual_0,23,813,6
nn,multiclass,nn_multiclass,win_23,train,actual_1,14,126,61
nn,multiclass,nn_multiclass,win_23,val,actual_-1,1,6,0
nn,multiclass,nn_multiclass,win_23,val,actual_0,0,43,1
nn,multiclass,nn_multiclass,win_23,val,actual_1,0,10,2
nn,multiclass,nn_multiclass,win_23,test,actual_-1,2,3,5
nn,multiclass,nn_multiclass,win_23,test,actual_0,5,29,13
nn,multiclass,nn_multiclass,win_23,test,actual_1,1,3,3
nn,multiclass,nn_multiclass,win_24,train,actual_-1,154,115,42
nn,multiclass,nn_multiclass,win_24,train,actual_0,44,541,43
nn,multiclass,nn_multiclass,win_24,train,actual_1,32,127,160
nn,multiclass,nn_multiclass,win_24,val,actual_-1,6,11,2
nn,multiclass,nn_multiclass,win_24,val,actual_0,1,31,1
nn,multiclass,nn_multiclass,win_24,val,actual_1,3,4,5
nn,multiclass,nn_multiclass,win_24,test,actual_-1,3,10,4
nn,multiclass,nn_multiclass,win_24,test,actual_0,9,10,8
nn,multiclass,nn_multiclass,win_24,test,actual_1,0,10,9
nn,multiclass,nn_multiclass,win_25,train,actual_-1,171,78,18
nn,multiclass,nn_multiclass,win_25,train,actual_0,24,692,43
nn,multiclass,nn_multiclass,win_25,train,actual_1,19,93,120
nn,multiclass,nn_multiclass,win_25,val,actual_-1,8,6,1
nn,multiclass,nn_multiclass,win_25,val,actual_0,3,29,1
nn,multiclass,nn_multiclass,win_25,val,actual_1,1,4,10
nn,multiclass,nn_multiclass,win_25,test,actual_-1,9,2,6
nn,multiclass,nn_multiclass,win_25,test,actual_0,13,5,13
nn,multiclass,nn_multiclass,win_25,test,actual_1,3,2,9
nn,multiclass,nn_multiclass,win_26,train,actual_-1,58,155,6
nn,multiclass,nn_multiclass,win_26,train,actual_0,19,818,8
nn,multiclass,nn_multiclass,win_26,train,actual_1,10,157,27
nn,multiclass,nn_multiclass,win_26,val,actual_-1,2,11,0
nn,multiclass,nn_multiclass,win_26,val,actual_0,1,38,0
nn,multiclass,nn_multiclass,win_26,val,actual_1,0,10,0
nn,multiclass,nn_multiclass,win_26,test,actual_-1,0,6,0
nn,multiclass,nn_multiclass,win_26,test,actual_0,1,49,0
nn,multiclass,nn_multiclass,win_26,test,actual_1,0,7,0
nn,multiclass,nn_multiclass,win_27,train,actual_-1,94,169,8
nn,multiclass,nn_multiclass,win_27,train,actual_0,34,698,19
nn,multiclass,nn_multiclass,win_27,train,actual_1,21,164,52
nn,multiclass,nn_multiclass,win_27,val,actual_-1,3,7,1
nn,multiclass,nn_multiclass,win_27,val,actual_0,0,42,0
nn,multiclass,nn_multiclass,win_27,val,actual_1,0,8,2
nn,multiclass,nn_multiclass,win_27,test,actual_-1,1,12,0
nn,multiclass,nn_multiclass,win_27,test,actual_0,0,44,0
nn,multiclass,nn_multiclass,win_27,test,actual_1,0,7,0
nn,multiclass,nn_multiclass,win_28,train,actual_-1,184,84,5
nn,multiclass,nn_multiclass,win_28,train,actual_0,15,711,23
nn,multiclass,nn_multiclass,win_28,train,actual_1,9,80,147
nn,multiclass,nn_multiclass,win_28,val,actual_-1,6,7,0
nn,multiclass,nn_multiclass,win_28,val,actual_0,0,44,0
nn,multiclass,nn_multiclass,win_28,val,actual_1,0,3,4
nn,multiclass,nn_multiclass,win_28,test,actual_-1,7,0,0
nn,multiclass,nn_multiclass,win_28,test,actual_0,26,5,2
nn,multiclass,nn_multiclass,win_28,test,actual_1,18,3,2
nn,multiclass,nn_multiclass,win_29,train,actual_-1,158,97,16
nn,multiclass,nn_multiclass,win_29,train,actual_0,43,696,19
nn,multiclass,nn_multiclass,win_29,train,actual_1,15,89,125
nn,multiclass,nn_multiclass,win_29,val,actual_-1,2,4,1
nn,multiclass,nn_multiclass,win_29,val,actual_0,1,31,2
nn,multiclass,nn_multiclass,win_29,val,actual_1,1,7,14
nn,multiclass,nn_multiclass,win_29,test,actual_-1,0,7,4
nn,multiclass,nn_multiclass,win_29,test,actual_0,0,29,8
nn,multiclass,nn_multiclass,win_29,test,actual_1,0,11,2
nn,multiclass,nn_multiclass,win_30,train,actual_-1,196,20,2
nn,multiclass,nn_multiclass,win_30,train,actual_0,11,823,8
nn,multiclass,nn_multiclass,win_30,train,actual_1,0,17,181
nn,multiclass,nn_multiclass,win_30,val,actual_-1,6,3,0
nn,multiclass,nn_multiclass,win_30,val,actual_0,1,40,1
nn,multiclass,nn_multiclass,win_30,val,actual_1,0,2,8
nn,multiclass,nn_multiclass,win_30,test,actual_-1,1,11,0
nn,multiclass,nn_multiclass,win_30,test,actual_0,2,37,0
nn,multiclass,nn_multiclass,win_30,test,actual_1,0,12,0
nn,multiclass,nn_multiclass,win_31,train,actual_-1,189,68,9
nn,multiclass,nn_multiclass,win_31,train,actual_0,26,705,24
nn,multiclass,nn_multiclass,win_31,train,actual_1,14,57,166
nn,multiclass,nn_multiclass,win_31,val,actual_-1,9,5,0
nn,multiclass,nn_multiclass,win_31,val,actual_0,0,37,0
nn,multiclass,nn_multiclass,win_31,val,actual_1,0,2,10
nn,multiclass,nn_multiclass,win_31,test,actual_-1,1,8,0
nn,multiclass,nn_multiclass,win_31,test,actual_0,5,35,1
nn,multiclass,nn_multiclass,win_31,test,actual_1,3,11,0
nn,multiclass,nn_multiclass,win_32,train,actual_-1,96,115,11
nn,multiclass,nn_multiclass,win_32,train,actual_0,18,792,27
nn,multiclass,nn_multiclass,win_32,train,actual_1,4,74,120
nn,multiclass,nn_multiclass,win_32,val,actual_-1,2,5,0
nn,multiclass,nn_multiclass,win_32,val,actual_0,1,47,0
nn,multiclass,nn_multiclass,win_32,val,actual_1,0,4,5
nn,multiclass,nn_multiclass,win_32,test,actual_-1,5,4,1
nn,multiclass,nn_multiclass,win_32,test,actual_0,16,18,11
nn,multiclass,nn_multiclass,win_32,test,actual_1,4,4,0
nn,multiclass,nn_multiclass,win_33,train,actual_-1,23,199,1
nn,multiclass,nn_multiclass,win_33,train,actual_0,11,824,4
nn,multiclass,nn_multiclass,win_33,train,actual_1,5,183,7
nn,multiclass,nn_multiclass,win_33,val,actual_-1,0,10,0
nn,multiclass,nn_multiclass,win_33,val,actual_0,0,45,0
nn,multiclass,nn_multiclass,win_33,val,actual_1,0,8,0
nn,multiclass,nn_multiclass,win_33,test,actual_-1,6,3,0
nn,multiclass,nn_multiclass,win_33,test,actual_0,22,11,0
nn,multiclass,nn_multiclass,win_33,test,actual_1,13,8,0
nn,multiclass,nn_multiclass,win_34,train,actual_-1,49,105,2
nn,multiclass,nn_multiclass,win_34,train,actual_0,14,921,12
nn,multiclass,nn_multiclass,win_34,train,actual_1,6,107,42
nn,multiclass,nn_multiclass,win_34,val,actual_-1,3,3,0
nn,multiclass,nn_multiclass,win_34,val,actual_0,1,41,1
nn,multiclass,nn_multiclass,win_34,val,actual_1,0,4,10
nn,multiclass,nn_multiclass,win_34,test,actual_-1,2,10,0
nn,multiclass,nn_multiclass,win_34,test,actual_0,1,29,4
nn,multiclass,nn_multiclass,win_34,test,actual_1,0,13,4
nn,multiclass,nn_multiclass,win_35,train,actual_-1,179,114,20
nn,multiclass,nn_multiclass,win_35,train,actual_0,42,552,48
nn,multiclass,nn_multiclass,win_35,train,actual_1,24,88,193
nn,multiclass,nn_multiclass,win_35,val,actual_-1,11,4,3
nn,multiclass,nn_multiclass,win_35,val,actual_0,5,11,3
nn,multiclass,nn_multiclass,win_35,val,actual_1,1,0,25
nn,multiclass,nn_multiclass,win_35,test,actual_-1,7,6,7
nn,multiclass,nn_multiclass,win_35,test,actual_0,3,20,7
nn,multiclass,nn_multiclass,win_35,test,actual_1,5,6,3
nn,multiclass,nn_multiclass,win_36,train,actual_-1,83,158,13
nn,multiclass,nn_multiclass,win_36,train,actual_0,28,699,28
nn,multiclass,nn_multiclass,win_36,train,actual_1,19,162,69
nn,multiclass,nn_multiclass,win_36,val,actual_-1,8,8,0
nn,multiclass,nn_multiclass,win_36,val,actual_0,2,37,0
nn,multiclass,nn_multiclass,win_36,val,actual_1,0,8,1
nn,multiclass,nn_multiclass,win_36,test,actual_-1,0,17,1
nn,multiclass,nn_multiclass,win_36,test,actual_0,1,26,4
nn,multiclass,nn_multiclass,win_36,test,actual_1,3,11,0
nn,multiclass,nn_multiclass,win_37,train,actual_-1,35,211,6
nn,multiclass,nn_multiclass,win_37,train,actual_0,9,737,15
nn,multiclass,nn_multiclass,win_37,train,actual_1,8,205,33
nn,multiclass,nn_multiclass,win_37,val,actual_-1,7,10,0
nn,multiclass,nn_multiclass,win_37,val,actual_0,5,27,0
nn,multiclass,nn_multiclass,win_37,val,actual_1,1,11,2
nn,multiclass,nn_multiclass,win_37,test,actual_-1,1,12,0
nn,multiclass,nn_multiclass,win_37,test,actual_0,6,25,0
nn,multiclass,nn_multiclass,win_37,test,actual_1,2,14,0
nn,multiclass,nn_multiclass,win_38,train,actual_-1,179,68,7
nn,multiclass,nn_multiclass,win_38,train,actual_0,22,726,12
nn,multiclass,nn_multiclass,win_38,train,actual_1,9,59,177
nn,multiclass,nn_multiclass,win_38,val,actual_-1,13,0,0
nn,multiclass,nn_multiclass,win_38,val,actual_0,1,29,1
nn,multiclass,nn_multiclass,win_38,val,actual_1,0,3,13
nn,multiclass,nn_multiclass,win_38,test,actual_-1,3,4,4
nn,multiclass,nn_multiclass,win_38,test,actual_0,6,15,17
nn,multiclass,nn_multiclass,win_38,test,actual_1,0,6,8
nn,multiclass,nn_multiclass,win_39,train,actual_-1,206,34,10
nn,multiclass,nn_multiclass,win_39,train,actual_0,8,737,10
nn,multiclass,nn_multiclass,win_39,train,actual_1,4,25,223
nn,multiclass,nn_multiclass,win_39,val,actual_-1,9,2,0
