model_id,model_name,class_type,candidate_id,window_id,val_accuracy,val_n_obs,val_cumulative_return,val_mean_return,val_volatility,val_sharpe,val_hit_rate,val_active_rate,selected_abs_threshold_train_only,multiclass_quantile,C,hidden_layer_sizes,alpha,learning_rate_init,selection_metric,selection_metric_filled,rank_within_window,selected
nn_binary,nn,binary,cand_022,win_01,0.47619047619047616,63.0,-0.04192314500132921,-0.0005355714057368463,0.017087349847796474,-0.03134315212759056,0.47619047619047616,1.0,,,,"(32, 16)",0.001,0.001,-0.03134315212759056,-0.03134315212759056,1,1
nn_binary,nn,binary,cand_029,win_02,0.5737704918032787,61.0,0.16095862933019833,0.0025737980724586233,0.015885165026042723,0.162025264971377,0.5737704918032787,1.0,,,,"(64, 32)",0.001,0.0005,0.162025264971377,0.162025264971377,1,1
nn_binary,nn,binary,cand_031,win_03,0.5538461538461539,65.0,0.1291021460590671,0.001988186356199401,0.015601085812847578,0.1274389731618628,0.5538461538461539,1.0,,,,"(64, 32)",0.01,0.0005,0.1274389731618628,0.1274389731618628,1,1
nn_binary,nn,binary,cand_032,win_04,0.53125,64.0,0.08497352025240423,0.0013258225302147887,0.0101928721829873,0.1300734970882584,0.515625,1.0,,,,"(64, 32)",0.01,0.001,0.1300734970882584,0.1300734970882584,1,1
nn_binary,nn,binary,cand_019,win_05,0.5714285714285714,63.0,0.19148561270790854,0.002991884726432181,0.0211295412041059,0.1415972404479278,0.5555555555555556,1.0,,,,"(32, 16)",0.0001,0.0005,0.1415972404479278,0.1415972404479278,1,1
nn_binary,nn,binary,cand_025,win_06,0.5245901639344263,61.0,-0.03510772391795425,-0.0004936812180520736,0.013652702653489116,-0.0361599626522231,0.5245901639344263,1.0,,,,"(64, 32)",1e-05,0.0005,-0.0361599626522231,-0.0361599626522231,1,1
nn_binary,nn,binary,cand_026,win_07,0.65625,64.0,0.3259558375498477,0.004564625327261623,0.017404196227693864,0.2622715388601693,0.65625,1.0,,,,"(64, 32)",1e-05,0.001,0.2622715388601693,0.2622715388601693,1,1
nn_binary,nn,binary,cand_026,win_08,0.5,64.0,0.11225579697035104,0.0017570739070414216,0.013821291430505884,0.12712805571578267,0.5,1.0,,,,"(64, 32)",1e-05,0.001,0.12712805571578267,0.12712805571578267,1,1
nn_binary,nn,binary,cand_019,win_09,0.6349206349206349,63.0,0.24662037412364435,0.0035794772548487378,0.012312905657097124,0.290709386925704,0.6349206349206349,1.0,,,,"(32, 16)",0.0001,0.0005,0.290709386925704,0.290709386925704,1,1
nn_binary,nn,binary,cand_031,win_10,0.5081967213114754,61.0,0.05329485704417247,0.0009428015976871379,0.013625637260124989,0.06919321127432461,0.4918032786885246,1.0,,,,"(64, 32)",0.01,0.0005,0.06919321127432461,0.06919321127432461,1,1
