metric,train,test
accuracy,0.5276273022751896,0.5174476570289133
balanced_accuracy,0.5275096852413929,0.5202329724871344
precision,0.5252396166134186,0.5396825396825397
recall,0.5926459985580389,0.33398821218074654
f1,0.556910569105691,0.41262135922330095
roc_auc,0.5382870921529981,0.5349220110878679
log_loss,0.6906743176317149,0.6915500952819129
brier_score,0.24876873752303258,0.24920413949815284
