model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_minus_1,n_true_minus_1,n_pred_0,n_true_0,n_pred_1,n_true_1
logit,multiclass,logit_multiclass,win_18,test,0.47619047619047616,63.0,0.0,19.0,63.0,30.0,0.0,14.0
logit,multiclass,logit_multiclass,win_19,train,0.5146942017474185,1259.0,44.0,298.0,1187.0,639.0,28.0,322.0
logit,multiclass,logit_multiclass,win_19,val,0.38095238095238093,63.0,6.0,21.0,57.0,22.0,0.0,20.0
logit,multiclass,logit_multiclass,win_19,test,0.30158730158730157,63.0,0.0,24.0,61.0,19.0,2.0,20.0
logit,multiclass,logit_multiclass,win_20,train,0.7633042096902304,1259.0,9.0,148.0,1250.0,960.0,0.0,151.0
logit,multiclass,logit_multiclass,win_20,val,0.4444444444444444,63.0,2.0,22.0,57.0,31.0,4.0,10.0
logit,multiclass,logit_multiclass,win_20,test,0.6349206349206349,63.0,1.0,13.0,62.0,41.0,0.0,9.0
logit,multiclass,logit_multiclass,win_21,train,0.5138999205718825,1259.0,66.0,297.0,1167.0,640.0,26.0,322.0
logit,multiclass,logit_multiclass,win_21,val,0.3968253968253968,63.0,32.0,25.0,31.0,21.0,0.0,17.0
logit,multiclass,logit_multiclass,win_21,test,0.27419354838709675,62.0,62.0,17.0,0.0,28.0,0.0,17.0
logit,multiclass,logit_multiclass,win_22,train,0.6036536934074662,1259.0,2.0,260.0,1257.0,759.0,0.0,240.0
logit,multiclass,logit_multiclass,win_22,val,0.532258064516129,62.0,0.0,15.0,62.0,33.0,0.0,14.0
logit,multiclass,logit_multiclass,win_22,test,0.6349206349206349,63.0,0.0,7.0,63.0,40.0,0.0,16.0
logit,multiclass,logit_multiclass,win_23,train,0.7468253968253968,1260.0,0.0,166.0,1260.0,941.0,0.0,153.0
logit,multiclass,logit_multiclass,win_23,val,0.8095238095238095,63.0,0.0,4.0,63.0,51.0,0.0,8.0
logit,multiclass,logit_multiclass,win_23,test,0.8125,64.0,0.0,7.0,64.0,52.0,0.0,5.0
logit,multiclass,logit_multiclass,win_24,train,0.4960254372019078,1258.0,56.0,311.0,1160.0,628.0,42.0,319.0
logit,multiclass,logit_multiclass,win_24,val,0.5,64.0,1.0,19.0,63.0,33.0,0.0,12.0
logit,multiclass,logit_multiclass,win_24,test,0.42857142857142855,63.0,0.0,17.0,63.0,27.0,0.0,19.0
logit,multiclass,logit_multiclass,win_25,train,0.7511923688394276,1258.0,0.0,162.0,1258.0,945.0,0.0,151.0
logit,multiclass,logit_multiclass,win_25,val,0.7142857142857143,63.0,0.0,8.0,63.0,45.0,0.0,10.0
logit,multiclass,logit_multiclass,win_25,test,0.8064516129032258,62.0,0.0,6.0,62.0,50.0,0.0,6.0
logit,multiclass,logit_multiclass,win_26,train,0.4944356120826709,1258.0,45.0,321.0,1167.0,633.0,46.0,304.0
logit,multiclass,logit_multiclass,win_26,val,0.43548387096774194,62.0,4.0,19.0,58.0,27.0,0.0,16.0
logit,multiclass,logit_multiclass,win_26,test,0.5555555555555556,63.0,0.0,16.0,63.0,35.0,0.0,12.0
logit,multiclass,logit_multiclass,win_27,train,0.7434471803018269,1259.0,0.0,166.0,1259.0,936.0,0.0,157.0
logit,multiclass,logit_multiclass,win_27,val,0.873015873015873,63.0,0.0,3.0,63.0,55.0,0.0,5.0
logit,multiclass,logit_multiclass,win_27,test,0.796875,64.0,0.0,9.0,64.0,51.0,0.0,4.0
logit,multiclass,logit_multiclass,win_28,train,0.7472178060413355,1258.0,0.0,163.0,1258.0,940.0,0.0,155.0
logit,multiclass,logit_multiclass,win_28,val,0.796875,64.0,0.0,9.0,64.0,51.0,0.0,4.0
logit,multiclass,logit_multiclass,win_28,test,0.6825396825396826,63.0,0.0,5.0,63.0,43.0,0.0,15.0
logit,multiclass,logit_multiclass,win_29,train,0.7527821939586645,1258.0,0.0,161.0,1258.0,947.0,0.0,150.0
logit,multiclass,logit_multiclass,win_29,val,0.6825396825396826,63.0,0.0,5.0,63.0,43.0,0.0,15.0
logit,multiclass,logit_multiclass,win_29,test,0.7704918032786885,61.0,0.0,7.0,61.0,47.0,0.0,7.0
logit,multiclass,logit_multiclass,win_30,train,0.7480127186009539,1258.0,0.0,158.0,1258.0,941.0,0.0,159.0
logit,multiclass,logit_multiclass,win_30,val,0.7868852459016393,61.0,0.0,7.0,61.0,48.0,0.0,6.0
logit,multiclass,logit_multiclass,win_30,test,0.7777777777777778,63.0,0.0,6.0,63.0,49.0,0.0,8.0
logit,multiclass,logit_multiclass,win_31,train,0.7480127186009539,1258.0,0.0,162.0,1258.0,941.0,0.0,155.0
logit,multiclass,logit_multiclass,win_31,val,0.7777777777777778,63.0,0.0,6.0,63.0,49.0,0.0,8.0
logit,multiclass,logit_multiclass,win_31,test,0.859375,64.0,0.0,4.0,64.0,55.0,0.0,5.0
logit,multiclass,logit_multiclass,win_32,train,0.7438345266507558,1257.0,0.0,163.0,1257.0,935.0,0.0,159.0
logit,multiclass,logit_multiclass,win_32,val,0.859375,64.0,0.0,4.0,64.0,55.0,0.0,5.0
logit,multiclass,logit_multiclass,win_32,test,0.8253968253968254,63.0,0.0,6.0,63.0,52.0,0.0,5.0
logit,multiclass,logit_multiclass,win_33,train,0.5003977724741447,1257.0,30.0,329.0,1221.0,625.0,6.0,303.0
logit,multiclass,logit_multiclass,win_33,val,0.5555555555555556,63.0,0.0,14.0,63.0,35.0,0.0,14.0
logit,multiclass,logit_multiclass,win_33,test,0.36507936507936506,63.0,0.0,11.0,63.0,23.0,0.0,29.0
logit,multiclass,logit_multiclass,win_34,train,0.7527821939586645,1258.0,0.0,156.0,1258.0,947.0,0.0,155.0
logit,multiclass,logit_multiclass,win_34,val,0.6825396825396826,63.0,0.0,6.0,63.0,43.0,0.0,14.0
logit,multiclass,logit_multiclass,win_34,test,0.5396825396825397,63.0,0.0,12.0,63.0,34.0,0.0,17.0
logit,multiclass,logit_multiclass,win_35,train,0.7603174603174603,1260.0,0.0,149.0,1260.0,958.0,0.0,153.0
logit,multiclass,logit_multiclass,win_35,val,0.5396825396825397,63.0,0.0,12.0,63.0,34.0,0.0,17.0
logit,multiclass,logit_multiclass,win_35,test,0.75,64.0,0.0,10.0,64.0,48.0,0.0,6.0
logit,multiclass,logit_multiclass,win_36,train,0.749801429706116,1259.0,0.0,154.0,1259.0,944.0,0.0,161.0
logit,multiclass,logit_multiclass,win_36,val,0.75,64.0,0.0,10.0,64.0,48.0,0.0,6.0
logit,multiclass,logit_multiclass,win_36,test,0.6349206349206349,63.0,0.0,14.0,63.0,40.0,0.0,9.0
logit,multiclass,logit_multiclass,win_37,train,0.5075456711675933,1259.0,2.0,316.0,1257.0,638.0,0.0,305.0
logit,multiclass,logit_multiclass,win_37,val,0.36507936507936506,63.0,21.0,21.0,42.0,23.0,0.0,19.0
