date,cumulative_return
2016-04-01,
2016-04-04,0.024312690230757772
2016-04-05,0.043054350946209796
2016-04-06,0.062195448628514116
2016-04-07,0.07205617638473893
2016-04-08,0.09064583054772668
2016-04-11,0.09472086306494387
2016-04-12,0.09869754636966488
2016-04-13,0.0975658576857168
2016-04-14,0.10454195267197908
2016-04-15,0.10303907225591269
2016-04-18,0.1019773714297092
2016-04-19,0.10636488475199668
2016-04-20,0.1023948981703866
2016-04-21,0.10548138111000793
2016-04-22,0.09146554925284756
2016-04-25,0.09808527144394441
2016-04-26,0.09451461798446847
2016-04-27,0.11226912134655298
2016-04-28,0.10355843792128194
2016-04-29,0.10906416076872305
2016-05-02,0.11369166475631909
2016-05-03,0.12920272655180165
2016-05-04,0.13996991665503344
2016-05-05,0.10781492370559853
2016-05-06,0.1109073828752487
2016-05-09,0.09600504054302039
2016-05-10,0.08526666495034063
2016-05-11,0.08411881265737597
2016-05-12,0.08056810123943037
2016-05-13,-0.0009920615160901036
2016-05-16,-0.014308367312709458
2016-05-17,-0.02385170229195177
2016-05-18,-0.021058992192649506
2016-05-19,-0.013549854135194273
2016-05-20,-0.01072106411991447
2016-05-23,-0.020727336755017256
2016-05-24,-0.02863464959590667
2016-05-25,-0.023144651855810716
2016-05-26,-0.01611809190311697
2016-05-27,-0.02330736179170856
2016-05-31,-0.031546705085399696
2016-06-01,-0.04036278731355336
2016-06-02,-0.04501480939714375
2016-06-03,-0.038346204051924127
2016-06-06,-0.032096030736916914
2016-06-07,-0.05728665822099599
2016-06-08,-0.06498186472094258
2016-06-09,-0.08961313099024104
2016-06-10,-0.08043186090003396
2016-06-13,-0.08889630430225626
2016-06-14,-0.09577373697972391
2016-06-15,-0.09474562039305157
2016-06-16,-0.09580337439973952
2016-06-17,-0.09890033432597145
2016-06-20,-0.09836226246002366
2016-06-21,-0.0958427953902814
2016-06-22,-0.14269576500055858
2016-06-23,-0.15474950063001303
2016-06-24,-0.17199478987472427
2016-06-27,-0.15604204505047836
2016-06-28,-0.15561897673887426
2016-06-29,-0.14478776486806166
2016-06-30,-0.14390728171644396
2016-07-01,-0.1320697405971779
2016-07-05,-0.14356424149610825
2016-07-06,-0.14558180310102686
2016-07-07,-0.15354757044401834
2016-07-08,-0.16883028199515693
2016-07-11,-0.1631602378922713
2016-07-12,-0.16960912969397113
2016-07-13,-0.1735456825277648
2016-07-14,-0.1795291301817793
2016-07-15,-0.17693922552963248
2016-07-18,-0.16792404879477585
2016-07-19,-0.17422495145701422
2016-07-20,-0.1738753254956582
2016-07-21,-0.18033416145834624
2016-07-22,-0.1883414251265616
2016-07-25,-0.1817695875359291
2016-07-26,-0.18953346701259144
2016-07-27,-0.18725289990809046
2016-07-28,-0.18437740575151995
