date,Random Forest Strategy
2016-03-29,0.9877701891679398
2016-03-30,0.9962944412790479
2016-03-31,0.9867778286750932
2016-04-01,1.0107690523502506
2016-04-04,0.9922751970836916
2016-04-05,1.0104844461586577
2016-04-06,1.0005985273017861
2016-04-07,0.9832479621091469
2016-04-08,0.9795742054176001
2016-04-11,0.9760158038927463
2016-04-12,0.9770211270085297
2016-04-13,0.9708112106396223
2016-04-14,0.9721321320882269
2016-04-15,0.97306783193221
2016-04-18,0.9691935708205206
2016-04-19,0.9726713434108923
2016-04-20,0.969948060209674
2016-04-21,0.9822455345537713
2016-04-22,0.9882028389933318
2016-04-25,0.9914161867883309
2016-04-26,0.975334079037251
2016-04-27,0.9829723621050094
2016-04-28,0.9780682508169485
2016-04-29,0.9739873194417433
2016-05-02,0.9604220051110637
2016-05-03,0.9512641753740281
2016-05-04,0.9249076144316091
2016-05-05,0.9274894888694085
2016-05-06,0.9150476182996929
2016-05-09,0.9060822170040741
2016-05-10,0.9051238824453967
2016-05-11,0.9076357868214556
2016-05-12,0.9756893794382966
2016-05-13,0.9886948598139896
2016-05-16,0.9982672716378945
2016-05-17,1.0011232629845495
2016-05-18,1.0088025539063987
2016-05-19,1.0116954427197278
2016-05-20,1.001462433548721
2016-05-23,0.9933759454257628
2016-05-24,0.9989903434410764
2016-05-25,1.0061761213084817
2016-05-26,1.013528296027839
2016-05-27,1.0049782084750523
2016-05-31,0.9958296304590109
2016-06-01,0.991002158815409
2016-06-02,0.9979222685285541
2016-06-03,1.0044081651781478
2016-06-06,1.0300466452279253
2016-06-07,1.0216385520268172
2016-06-08,1.0480408483968897
2016-06-09,1.036947314700638
2016-06-10,1.0279208927889
2016-06-13,1.0201616698033056
2016-06-14,1.021321606399605
2016-06-15,1.0201282324202874
2016-06-16,1.0231122050721597
2016-06-17,1.024234690147625
2016-06-20,1.0270967327020497
2016-06-21,0.9738730988486023
2016-06-22,0.9601803998149083
2016-06-23,0.9792904651183134
2016-06-24,0.9986475893326604
2016-06-27,0.9991482021262583
2016-06-28,1.0119646742750223
2016-06-29,1.0130065417894576
2016-06-30,1.02701379396719
2016-07-01,1.0134124580878623
2016-07-05,1.0110250962278717
2016-07-06,1.0015992779064613
2016-07-07,0.9835153876373971
2016-07-08,0.9902246980260826
2016-07-11,0.9825937844078564
2016-07-12,0.977935698095981
2016-07-13,0.9708555402035928
2016-07-14,0.9739201502618303
2016-07-15,0.984587724944755
2016-07-18,0.9771319254972097
2016-07-19,0.9775456346416388
2016-07-20,0.9699029541903131
2016-07-21,0.9604280336536704
2016-07-22,0.9682044278790953
2016-07-25,0.9590175015899747
2016-07-26,0.9617160754085691
2016-07-27,0.9651186208680417
2016-07-28,0.9658273890579726
2016-07-29,0.9590858756761625
2016-08-01,0.9590900738704251
2016-08-02,0.9550685699153514
2016-08-03,0.9562482757170911
2016-08-04,0.9468681490798256
2016-08-05,0.9345960139626431
2016-08-08,0.9298484146360404
2016-08-09,0.9336045988318006
2016-08-10,0.9226570042339287
2016-08-11,0.9470327299493598
2016-08-12,0.9472758533892189
2016-08-15,0.9458759196094406
2016-08-16,0.956191769727662
2016-08-17,0.9494440753247055
2016-08-18,0.9513520674525179
2016-08-19,0.9447967038086736
2016-08-22,0.9451404651114633
2016-08-23,0.9478057566555202
2016-08-24,0.9474048768620523
2016-08-25,0.9415576238015683
2016-08-26,0.9316264266101565
2016-08-29,0.9256949895279373
2016-08-30,0.9296157826785022
2016-08-31,0.8911140567796192
2016-09-01,0.888760012219214
2016-09-02,0.8960730037486232
2016-09-06,0.9002276779700406
2016-09-07,0.8872822269816315
2016-09-08,0.9027021526474976
2016-09-09,0.9023304806321021
2016-09-12,0.9038550239966189
2016-09-13,0.9006936755915135
2016-09-14,0.8925906661831517
2016-09-15,0.9028121299031276
2016-09-16,0.898753383572628
2016-09-19,0.8993663094709828
2016-09-20,0.8878618480465272
2016-09-21,0.8893768878893469
2016-09-22,0.8921303649443424
2016-09-23,0.8996421868679456
2016-09-26,0.8774436586795268
2016-09-27,0.8767938887919617
2016-09-28,0.8609611581630977
2016-09-29,0.8608293965822675
2016-09-30,0.8817503231139555
2016-10-03,0.8778015930857659
2016-10-04,0.8721893234281742
2016-10-05,0.8623107902359256
2016-10-06,0.8560076023970661
2016-10-07,0.863915377821277
2016-10-10,0.8683605553331133
2016-10-11,0.8692838082420414
2016-10-12,0.8737156945680099
2016-10-13,0.8612501257364886
2016-10-14,0.8583155540593205
2016-10-17,0.8630144027627488
2016-10-18,0.8734927332530381
2016-10-19,0.8556215816948121
2016-10-20,0.8590328170449609
2016-10-21,0.844594479430936
2016-10-24,0.8369202097204033
2016-10-25,0.8348395195679416
2016-10-26,0.8471938220299858
2016-10-27,0.8395159757222848
2016-10-28,0.8311953275796996
2016-10-31,0.8289472069791542
2016-11-01,0.8246598716919274
2016-11-02,0.8282208586130408
2016-11-03,0.8373779529551821
2016-11-04,0.8202867801996654
2016-11-07,0.8246503901576853
2016-11-08,0.8214075194878637
2016-11-09,0.8238852778209558
2016-11-10,0.7084497341633521
2016-11-11,0.7124525386705146
2016-11-14,0.7060772647613405
2016-11-15,0.6842460748146902
2016-11-16,0.6901497228122428
2016-11-17,0.6798648173592882
2016-11-18,0.680260320679011
2016-11-21,0.6901576191491281
2016-11-22,0.692056298650993
2016-11-23,0.6975971038639169
2016-11-25,0.6968163192056342
2016-11-28,0.688328041436763
2016-11-29,0.6919241152676369
2016-11-30,0.6953843370205419
2016-12-01,0.6913877390726841
2016-12-02,0.6880404071945048
2016-12-05,0.6806752787149096
2016-12-06,0.6879856648056241
2016-12-07,0.6921670327032932
2016-12-08,0.6981420036991891
2016-12-09,0.7070965129220577
2016-12-12,0.7113459093228945
2016-12-13,0.6917194308723598
2016-12-14,0.6816322456640252
2016-12-15,0.6842049119738264
2016-12-16,0.6804603467604163
2016-12-19,0.6788049302287437
2016-12-20,0.6749525793468664
2016-12-21,0.6720271779792115
2016-12-22,0.671502777229025
2016-12-23,0.6582573869945212
2016-12-27,0.6811293417979336
2016-12-28,0.6665871404959123
2016-12-29,0.679018359467635
2016-12-30,0.6993707617512582
2017-01-03,0.7072809438500466
2017-01-04,0.7158477779894851
2017-01-05,0.7170095245418141
2017-01-06,0.727983727416662
