beta,alpha,information_ratio,model_name,class_type,model_id,window_id,split,strategy_name,benchmark_name
-0.2476829178964164,0.0016425164748870194,0.09500042142994201,logit,binary,logit_binary,win_01,train,strategy_gross,benchmark_nvda_minus_tsla
0.17230201494018665,0.0017305957659066865,0.09843485750156591,logit,binary,logit_binary,win_01,train,strategy_gross,benchmark_mom21
-0.05189491302112469,0.0018472133695121757,0.10362324642847905,logit,binary,logit_binary,win_01,train,strategy_gross,benchmark_random_walk
-0.24761097352582356,0.0015857437486273558,0.09167483587929036,logit,binary,logit_binary,win_01,train,strategy_net,benchmark_nvda_minus_tsla
0.17288469627206002,0.0016733178381727763,0.09514654540094138,logit,binary,logit_binary,win_01,train,strategy_net,benchmark_mom21
-0.05149379946273281,0.0017904852509356853,0.10039745331207371,logit,binary,logit_binary,win_01,train,strategy_net,benchmark_random_walk
0.2942996516116473,-0.00041921170110953394,-0.025651247029756175,logit,binary,logit_binary,win_01,val,strategy_gross,benchmark_nvda_minus_tsla
0.28758370098308494,-0.00035020988292619866,-0.02138895170481488,logit,binary,logit_binary,win_01,val,strategy_gross,benchmark_mom21
-0.11254698409240384,0.00023027079224550648,0.013574763955885857,logit,binary,logit_binary,win_01,val,strategy_gross,benchmark_random_walk
0.2933424851798677,-0.0005746581960917828,-0.03513337391942209,logit,binary,logit_binary,win_01,val,strategy_net,benchmark_nvda_minus_tsla
0.2865384419293802,-0.0005055212212910666,-0.03084806896950014,logit,binary,logit_binary,win_01,val,strategy_net,benchmark_mom21
-0.11601348583110636,6.044800712948223e-05,0.00356306215587163,logit,binary,logit_binary,win_01,val,strategy_net,benchmark_random_walk
0.6271918944124935,-0.0005840593228859419,-0.04652877603019247,logit,binary,logit_binary,win_01,test,strategy_gross,benchmark_nvda_minus_tsla
0.07208866033923823,-0.0004472169855798672,-0.02781789218831159,logit,binary,logit_binary,win_01,test,strategy_gross,benchmark_mom21
