,cumulative_return,annual_return,annual_vol,sharpe,max_drawdown,calmar,hit_rate
train_strategy_gross,6.137831594319256,0.21985622781582723,0.28672795381688587,0.7667763986354634,-0.5174762495343677,0.42486245120168686,0.527266161068978
train_strategy_net,5.5324648818211015,0.2118020566348955,0.28677873947956345,0.7385556440455344,-0.5289948443536252,0.40038586178225394,0.5265438786565547
train_benchmark_nvda_minus_tsla,-0.7381926429796324,-0.08063698408943933,0.28701740216936183,-0.28094806614498397,-0.8433356780265289,-0.09561671134101209,0.5009028530155291
train_benchmark_tsla_minus_nvda,0.5428917287160564,0.08063698408943933,0.28701740216936183,0.28094806614498397,-0.7735963523349947,0.10423651022403044,0.4987360057782593
train_benchmark_mom21,4.016944550068511,0.18777778413702081,0.28681845858599386,0.6546921180134622,-0.482348987241776,0.38929859728905736,0.5124593716143012
train_benchmark_random_walk,-0.8316732598006034,-0.12065207541857699,0.2869616958794724,-0.4204466211032305,-0.8791988592388916,-0.13722956319918744,0.49259660527266164
test_strategy_gross,0.11701999402071128,0.07247605544199608,0.2987247517519072,0.2426181795012015,-0.5748414636624742,0.1260800760269293,0.5174476570289133
test_strategy_net,0.07746458101680265,0.06343119003820744,0.29877125311712416,0.21230687148251567,-0.5750607804804555,0.1103034534631479,0.5154536390827518
test_benchmark_nvda_minus_tsla,0.7950201452898846,0.19149924979122115,0.29851578446872706,0.6415046029543636,-0.4282047516393125,0.4472142101602033,0.5074775672981057
test_benchmark_tsla_minus_nvda,-0.6095027202021904,-0.19149924979122115,0.29851578446872706,-0.6415046029543636,-0.774221441679115,-0.24734428612039167,0.4915254237288136
test_benchmark_mom21,1.0898673859194217,0.22978681359147757,0.2984084477568437,0.7700412482247082,-0.36638330078719106,0.6271760014655969,0.5194416749750748
test_benchmark_random_walk,0.1200703462021655,0.07284800996080319,0.2987243923676034,0.24386361416096916,-0.3994652122710972,0.18236383976125778,0.4795613160518445
