model_name,class_type,model_id,window_id,split,actual_label,pred_0,pred_1
logit,binary,logit_binary,win_18,train,actual_0,207,402
logit,binary,logit_binary,win_18,train,actual_1,197,453
logit,binary,logit_binary,win_18,val,actual_0,6,24
logit,binary,logit_binary,win_18,val,actual_1,7,25
logit,binary,logit_binary,win_18,test,actual_0,21,12
logit,binary,logit_binary,win_18,test,actual_1,16,14
logit,binary,logit_binary,win_19,train,actual_0,214,395
logit,binary,logit_binary,win_19,train,actual_1,210,440
logit,binary,logit_binary,win_19,val,actual_0,22,11
logit,binary,logit_binary,win_19,val,actual_1,18,12
logit,binary,logit_binary,win_19,test,actual_0,1,34
logit,binary,logit_binary,win_19,test,actual_1,1,27
logit,binary,logit_binary,win_20,train,actual_0,221,384
logit,binary,logit_binary,win_20,train,actual_1,189,465
logit,binary,logit_binary,win_20,val,actual_0,29,6
logit,binary,logit_binary,win_20,val,actual_1,20,8
logit,binary,logit_binary,win_20,test,actual_0,22,15
logit,binary,logit_binary,win_20,test,actual_1,17,9
logit,binary,logit_binary,win_21,train,actual_0,232,376
logit,binary,logit_binary,win_21,train,actual_1,201,450
logit,binary,logit_binary,win_21,val,actual_0,37,0
logit,binary,logit_binary,win_21,val,actual_1,26,0
logit,binary,logit_binary,win_21,test,actual_0,30,0
logit,binary,logit_binary,win_21,test,actual_1,31,1
logit,binary,logit_binary,win_22,train,actual_0,279,339
logit,binary,logit_binary,win_22,train,actual_1,242,399
logit,binary,logit_binary,win_22,val,actual_0,13,17
logit,binary,logit_binary,win_22,val,actual_1,15,17
logit,binary,logit_binary,win_22,test,actual_0,15,13
logit,binary,logit_binary,win_22,test,actual_1,26,9
logit,binary,logit_binary,win_23,train,actual_0,254,364
logit,binary,logit_binary,win_23,train,actual_1,216,426
logit,binary,logit_binary,win_23,val,actual_0,5,23
logit,binary,logit_binary,win_23,val,actual_1,12,23
logit,binary,logit_binary,win_23,test,actual_0,15,13
logit,binary,logit_binary,win_23,test,actual_1,15,21
logit,binary,logit_binary,win_24,train,actual_0,258,358
logit,binary,logit_binary,win_24,train,actual_1,220,422
logit,binary,logit_binary,win_24,val,actual_0,9,19
logit,binary,logit_binary,win_24,val,actual_1,6,30
logit,binary,logit_binary,win_24,test,actual_0,19,12
logit,binary,logit_binary,win_24,test,actual_1,16,16
logit,binary,logit_binary,win_25,train,actual_0,269,346
logit,binary,logit_binary,win_25,train,actual_1,227,416
logit,binary,logit_binary,win_25,val,actual_0,18,13
logit,binary,logit_binary,win_25,val,actual_1,12,20
logit,binary,logit_binary,win_25,test,actual_0,11,20
logit,binary,logit_binary,win_25,test,actual_1,19,12
logit,binary,logit_binary,win_26,train,actual_0,263,355
logit,binary,logit_binary,win_26,train,actual_1,220,420
logit,binary,logit_binary,win_26,val,actual_0,18,13
logit,binary,logit_binary,win_26,val,actual_1,17,14
logit,binary,logit_binary,win_26,test,actual_0,17,21
logit,binary,logit_binary,win_26,test,actual_1,9,16
logit,binary,logit_binary,win_27,train,actual_0,323,293
logit,binary,logit_binary,win_27,train,actual_1,265,378
logit,binary,logit_binary,win_27,val,actual_0,37,1
logit,binary,logit_binary,win_27,val,actual_1,25,0
logit,binary,logit_binary,win_27,test,actual_0,37,0
logit,binary,logit_binary,win_27,test,actual_1,27,0
logit,binary,logit_binary,win_28,train,actual_0,358,263
logit,binary,logit_binary,win_28,train,actual_1,302,335
logit,binary,logit_binary,win_28,val,actual_0,37,0
logit,binary,logit_binary,win_28,val,actual_1,27,0
logit,binary,logit_binary,win_28,test,actual_0,21,0
logit,binary,logit_binary,win_28,test,actual_1,42,0
logit,binary,logit_binary,win_29,train,actual_0,305,325
logit,binary,logit_binary,win_29,train,actual_1,249,379
logit,binary,logit_binary,win_29,val,actual_0,3,18
logit,binary,logit_binary,win_29,val,actual_1,11,31
logit,binary,logit_binary,win_29,test,actual_0,32,1
logit,binary,logit_binary,win_29,test,actual_1,28,0
logit,binary,logit_binary,win_30,train,actual_0,327,294
logit,binary,logit_binary,win_30,train,actual_1,275,362
logit,binary,logit_binary,win_30,val,actual_0,26,7
logit,binary,logit_binary,win_30,val,actual_1,19,9
logit,binary,logit_binary,win_30,test,actual_0,27,8
logit,binary,logit_binary,win_30,test,actual_1,27,1
logit,binary,logit_binary,win_31,train,actual_0,337,291
logit,binary,logit_binary,win_31,train,actual_1,271,359
logit,binary,logit_binary,win_31,val,actual_0,34,1
logit,binary,logit_binary,win_31,val,actual_1,28,0
logit,binary,logit_binary,win_31,test,actual_0,33,0
logit,binary,logit_binary,win_31,test,actual_1,31,0
logit,binary,logit_binary,win_32,train,actual_0,351,279
logit,binary,logit_binary,win_32,train,actual_1,282,345
logit,binary,logit_binary,win_32,val,actual_0,33,0
logit,binary,logit_binary,win_32,val,actual_1,31,0
